t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.0,0.002323539458,0,157472.0,2.1293376390956915,0.0010912029240166834,0.858229237741639,1.1153596791554272,1622.2408747567608,1392.2545917206814
0.005,0.002404468012,0,159888.0,2.2207243682724114,0.0010827404095495785,0.858229237741639,1.115034815478695,1612.9012752454162,1384.239460803369
0.01,0.002418542794,0,162757.0,2.162699351473158,0.001118298200973968,0.858229237741639,1.1152268018003615,1618.8032374850059,1389.3043667874545
0.015,0.002443173182,0,164871.0,2.149519166848768,0.0011366138156291641,0.858229237741639,1.1152764965574251,1620.1566917015048,1390.4659113697255
0.02,0.002510027434,0,167438.0,2.2051140218035368,0.001138275576311051,0.858229237741639,1.1150836704169982,1614.4811744476615,1385.5952525449081
0.025,0.002478359656,0,168193.0,2.1229983649902895,0.001167386511864476,0.858229237741639,1.1153878787603417,1622.8987736687873,1392.8192144228306
0.03,0.002534657822,0,171062.0,2.149037548428796,0.0011794385928031543,0.858229237741639,1.1152783759084295,1620.2062577804272,1390.5084495710976
0.035,0.002583918598,0,173025.0,2.186566175168756,0.0011817243984397485,0.858229237741639,1.115143846362951,1616.365637414004,1387.2124380740527
0.04,0.002583918598,0,174082.0,2.1573322360195344,0.001197737907429388,0.858229237741639,1.1152466493366338,1619.3536969750605,1389.7767737685542
0.045,0.0026402167640000003,0,175441.0,2.224201184892044,0.001187040444872413,0.858229237741639,1.1150241166329236,1612.550242714825,1383.938224475116
0.05,0.002647254155,0,176196.0,2.2161405015632383,0.0011945335384343455,0.858229237741639,1.115049017202378,1613.3645717396855,1384.6370370557638
0.055,0.0026437354590000003,0,176045.0,2.213813271191155,0.0011941998421472662,0.858229237741639,1.1150562714895405,1613.5999941446685,1384.839064569405
0.06,0.002710589231,0,178159.0,2.2792064105166796,0.001189268869415618,0.858229237741639,1.114860609100511,1607.048671696561,1379.2157932523653
0.065,0.002735219619,0,181632.0,2.227525159911827,0.0012279186193830777,0.858229237741639,1.1150139436756021,1612.2149542437019,1383.6504995675625
0.07,0.0027141079269999997,0,180424.0,2.222199965431004,0.001221360799757545,0.858229237741639,1.1150302673151014,1612.7522532592513,1384.111578433903
0.075,0.002717626622,0,183595.0,2.1442839865967978,0.0012673818575277228,0.858229237741639,1.115297185668544,1620.6959074237495,1390.92867344491
0.08,0.002766887398,0,183746.0,2.227225451520742,0.0012423023435327479,0.858229237741639,1.115014858775346,1612.245172949952,1383.676431460422
0.085,0.0027844808749999997,0,184501.0,2.2383597785341,0.0012439827152467661,0.858229237741639,1.1149811265841272,1611.124312186278,1382.714578996185
0.09,0.002770406093,0,183293.0,2.24587128547202,0.0012335551511438187,0.858229237741639,1.1149586434963712,1610.3703329260109,1382.0675645047143
0.095,0.0027950364810000006,0,184350.0,2.261490180338243,0.0012359268703886024,0.858229237741639,1.1149124390174006,1608.8087488616563,1380.7261578691075
0.1,0.002840779041,0,186162.0,2.294487661791527,0.001238088610501366,0.858229237741639,1.114816079794979,1605.5411710066844,1377.9221536623795
0.105,0.0028478164319999996,0,186917.0,2.286378833453568,0.0012455575560496167,0.858229237741639,1.1148397071179217,1606.3398143980603,1378.607500295164
0.11,0.0028372603460000002,0,185860.0,2.296474093403697,0.001235485457532326,0.858229237741639,1.1148102878651098,1605.3459883659582,1377.7546590221257
0.115,0.0028478164319999996,0,186162.0,2.3073259348017845,0.0012342497386458957,0.858229237741639,1.1147785855430636,1604.2830194353141,1376.84247729166
0.12,0.0028654094289999998,0,187672.0,2.2973553556056836,0.0012472643476805756,0.858229237741639,1.1148077174765365,1605.25945687056,1377.6804025018457
0.125,0.002900595903,0,187370.0,2.3705163739371526,0.001223613527791182,0.858229237741639,1.1145905939283718,1598.1932800085756,1371.6162008532583
0.13,0.002921707595,0,187974.0,2.392490401068686,0.0012211992966387334,0.858229237741639,1.1145232932825628,1596.109066299665,1369.827467882678
0.135,0.0028865211210000003,0,186162.0,2.3792205880930144,0.0012132213109813394,0.858229237741639,1.114564080622024,1597.3659317514794,1370.9061464488989
0.14,0.0029041141180000006,0,186917.0,2.3902943947029267,0.0012149608535399394,0.858229237741639,1.1145300752767884,1596.3167099430984,1370.005673707998
0.145,0.002935781897,0,189182.0,2.383739793453269,0.0012315865620328467,0.858229237741639,1.114550241416039,1596.9373056215677,1370.5382870074102
0.15,0.0029287449860000004,0,188880.0,2.379369429929862,0.001230891239149161,0.858229237741639,1.1145636256413398,1597.3518048543867,1370.8940223338889
0.155,0.002935781897,0,188880.0,2.3924758566218003,0.0012270894558348243,0.858229237741639,1.1145233382439028,1596.110441105519,1369.8286477811196
0.16,0.0029568940700000004,0,188729.0,2.4366721146389065,0.0012134969051583644,0.858229237741639,1.1143851856402387,1591.9587885973433,1366.2655788306677
0.165,0.0029850431530000004,0,189333.0,2.4722806166346576,0.0012074046663292336,0.858229237741639,1.1142771872101516,1588.6513802321792,1363.4270650509086
0.17,0.002995598759,0,190692.0,2.451656676262834,0.0012218671513037137,0.858229237741639,1.114338909982288,1590.562895048267,1365.0675824698023
0.175,0.0029639309800000005,0,187974.0,2.472887221530028,0.0011985710283084212,0.858229237741639,1.1142754182740038,1588.5953281262327,1363.3789595103271
0.18,0.002981524457,0,190390.0,2.4340503328495604,0.0012249230908505937,0.858229237741639,1.1143933607144774,1592.2036318487199,1366.4757104205676
0.185,0.002999117454,0,190390.0,2.4673440082672244,0.0012155246467257848,0.858229237741639,1.1142916927942421,1589.1079003482448,1363.8188638380836
0.19,0.0030167109310000003,0,191447.0,2.46913029280534,0.0012217706533309421,0.858229237741639,1.1142864219888733,1588.942636473264,1363.677029592952
0.195,0.002992080063,0,194316.0,2.341808897915098,0.0012776790051758004,0.858229237741639,1.114676858906541,1600.940335873834,1373.9738043829987
0.2,0.0029850431530000004,0,192806.0,2.371051174486037,0.0012589534908064798,0.858229237741639,1.114588970111399,1598.1423763594555,1371.572513856642
0.205,0.002999117454,0,192051.0,2.4183975307032304,0.0012401259164070953,0.858229237741639,1.1144424100729293,1593.669193218969,1367.7334977845949
