time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0,0.613482776,0,-0.000453
0.005,0.817563653,0,0.004228
0.01,0.979420857,0,0.006191
0.015,1.158871443,0,0.009815
0.02,1.35943372,0,0.013137
0.025,1.48962305,0,0.013892
0.03,1.683147936,0,0.015553
0.035,1.785188183,0,0.014194
0.04,1.925933598,0,0.016308
0.045,2.080753796,0,0.023254
0.05,2.217980516,0,0.03171
0.055,2.341132935,0,0.037448
0.06,2.404468012,0,0.042431
0.065,2.524101736,0,0.051642
0.07,2.601511594,0,0.054511
0.075,2.759850487,0,0.062363
0.08,2.795036962,0,0.067648
0.085,2.847816432,0,0.074594
0.09,2.925226291,0,0.080332
0.095,3.020229627,0,0.086825
0.1,3.129307264,0,0.093922
0.105,3.153937652,0,0.100264
0.11,3.210235818,0,0.106908
0.115,3.287645677,0,0.113099
0.12,3.365055535,0,0.119139
0.125,3.396723314,0,0.124726
0.13,3.435428483,0,0.130162
0.135,3.467096262,0,0.133484
0.14,3.562099117,0,0.138618
0.145,3.586729505,0,0.141789
0.15,3.604322982,0,0.145564
0.155,3.706363228,0,0.149188
0.16,3.688770232,0,0.153416
0.165,3.713400619,0,0.154926
0.17,3.723956706,0,0.156134
0.175,3.829515648,0,0.16157
0.18,3.833034343,0,0.162174
0.185,3.882295118,0,0.166251
0.19,3.871739032,0,0.167006
0.195,3.952667586,0,0.169875
0.2,3.931555894,0,0.169271
0.205,3.949149371,0,0.170479
0.21,3.973779759,0,0.170177
0.215,4.023040534,0,0.171838
0.22,4.040633531,0,0.172744
0.225,4.037114835,0,0.172442
0.23,4.0793387,0,0.173046
0.235,4.107487784,0,0.173348
0.24,4.121562085,0,0.174254
0.245,4.082857396,0,0.172593
0.25,4.149711168,0,0.173499
0.255,4.177860251,0,0.174254
0.26,4.156748559,0,0.173046
0.265,4.181378947,0,0.170479
0.27,4.213046725,0,0.16912
0.275,4.188416338,0,0.166855
0.28,4.195453729,0,0.166855
0.285,4.195453729,0,0.165496
0.29,4.25527059,0,0.16912
0.295,4.272863587,0,0.16761
0.3,4.244714504,0,0.165345
0.305,4.311568757,0,0.167459
0.31,4.308050061,0,0.165798
0.315,4.25527059,0,0.164439
0.32,4.304531366,0,0.163986
0.325,4.33971784,0,0.163835
0.33,4.304531366,0,0.161872
0.335,4.332680449,0,0.162627
0.34,4.371385618,0,0.163382
0.345,4.353792141,0,0.162325
0.35,4.357310837,0,0.163231
0.355,4.33971784,0,0.162929
0.36,4.374903833,0,0.164137
0.365,4.381941224,0,0.163986
0.37,4.371385618,0,0.162929
0.375,4.420646394,0,0.163382
0.38,4.378422529,0,0.162627
0.385,4.388978615,0,0.163231
0.39,4.367866923,0,0.162023
0.395,4.434720695,0,0.16308
0.4,4.410090307,0,0.161721
0.405,4.434720695,0,0.163684
0.41,4.431202,0,0.161419
0.415,4.431202,0,0.165496
0.42,4.381941224,0,0.163382
0.425,4.406571612,0,0.245828
0.43,4.420646394,0,0.18573
0.435,4.427683785,0,0.170328
0.44,4.459351083,0,0.165345
0.445,4.473425865,0,0.165043
0.45,4.452314172,0,0.1661
0.455,4.403052917,0,0.164137
0.46,4.480463256,0,0.164439
0.465,4.459351083,0,0.162476
0.47,4.480463256,0,0.164439
0.475,4.448795477,0,0.16157
0.48,4.491018861,0,0.163231
0.485,4.480463256,0,0.162778
0.49,4.431202,0,0.163382
0.495,4.498056252,0,0.164137
0.5,4.483981951,0,0.163835
0.505,4.491018861,0,0.165798
0.51,4.462869778,0,0.163986
0.515,4.512131034,0,0.1661
0.52,4.448795477,0,0.164741
0.525,4.487500166,0,0.167761
0.53,4.47694456,0,0.166402
0.535,4.508612339,0,0.168214
0.54,4.47694456,0,0.168516
0.545,4.501574948,0,0.168365
0.55,4.498056252,0,0.16912
0.555,4.448795477,0,0.16761
0.56,4.498056252,0,0.170026
0.565,4.498056252,0,0.168214
0.57,4.515649249,0,0.170026
0.575,4.501574948,0,0.169724
0.58,4.529724031,0,0.169422
0.585,4.512131034,0,0.168365
0.59,4.491018861,0,0.17063
0.595,4.508612339,0,0.170026
0.6,4.533242727,0,0.17063
0.605,4.480463256,0,0.170932
0.61,4.526205336,0,0.170328
0.615,4.526205336,0,0.169573
0.62,4.512131034,0,0.170026
0.625,4.487500166,0,0.171083
0.63,4.515649249,0,0.170177
0.635,4.543798332,0,0.171234
0.64,4.515649249,0,0.17214
0.645,4.547317028,0,0.172593
0.65,4.540280117,0,0.173197
0.655,4.480463256,0,0.173197
0.66,4.568429201,0,0.174858
0.665,4.536761422,0,0.17365
0.67,4.543798332,0,0.174103
0.675,4.550835723,0,0.17365
0.68,4.543798332,0,0.175009
0.685,4.508612339,0,0.177274
0.69,4.487500166,0,0.17667
0.695,4.550835723,0,0.177576
0.7,4.526205336,0,0.176972
0.705,4.547317028,0,0.178482
0.71,4.52268664,0,0.177576
0.715,4.543798332,0,0.179237
0.72,4.498056252,0,0.17667
0.725,4.529724031,0,0.177727
0.73,4.56139181,0,0.180294
0.735,4.519167945,0,0.179086
0.74,4.56139181,0,0.179237
0.745,4.536761422,0,0.178482
0.75,4.529724031,0,0.180143
0.755,4.483981951,0,0.177727
0.76,4.554354419,0,0.178935
0.765,4.533242727,0,0.177727
0.77,4.543798332,0,0.17969
0.775,4.554354419,0,0.178482
0.78,4.547317028,0,0.177727
0.785,4.515649249,0,0.178935
0.79,4.526205336,0,0.177878
0.795,4.56139181,0,0.178029
0.8,4.550835723,0,0.17969
0.805,4.526205336,0,0.17818
0.81,4.586022197,0,0.179539
0.815,4.564910505,0,0.177425
0.82,4.540280117,0,0.178784
0.825,4.508612339,0,0.177123
0.83,4.554354419,0,0.177425
0.835,4.540280117,0,0.177123
0.84,4.56139181,0,0.178029
0.845,4.571947416,0,0.17516
0.85,4.56139181,0,0.177727
0.855,4.526205336,0,0.177576
0.86,4.564910505,0,0.176519
0.865,4.578984806,0,0.177576
0.87,4.543798332,0,0.17516
0.875,4.571947416,0,0.176972
0.88,4.550835723,0,0.174254
0.885,4.56139181,0,0.176368
0.89,4.512131034,0,0.172744
0.895,4.586022197,0,0.175311
0.9,4.550835723,0,0.174254
0.905,4.56139181,0,0.17516
0.91,4.550835723,0,0.173499
0.915,4.56139181,0,0.175613
0.92,4.529724031,0,0.175462
0.925,4.529724031,0,0.174707
0.93,4.557873114,0,0.177727
0.935,4.557873114,0,0.176066
0.94,4.571947416,0,0.17667
0.945,4.575466111,0,0.176519
0.95,4.593059588,0,0.177727
0.955,4.52268664,0,0.175462
0.96,4.547317028,0,0.177425
0.965,4.589540893,0,0.177123
0.97,4.578984806,0,0.176368
0.975,4.571947416,0,0.178784
0.98,4.586022197,0,0.177425
0.985,4.56139181,0,0.17969
0.99,4.505093643,0,0.177123
0.995,4.578984806,0,0.180143
1,4.543798332,0,0.17667
1.005,4.586022197,0,0.179841
1.01,4.557873114,0,0.177425
1.015,4.578984806,0,0.176217
1.02,4.554354419,0,0.176972
1.025,4.536761422,0,0.176368
1.03,4.600096499,0,0.176972
1.035,4.547317028,0,0.17516
1.04,4.575466111,0,0.175915
1.045,4.582503502,0,0.176217
1.05,4.550835723,0,0.177123
1.055,4.536761422,0,0.176519
1.06,4.554354419,0,0.177576
1.065,4.578984806,0,0.175764
1.07,4.571947416,0,0.17516
1.075,4.547317028,0,0.177123
1.08,4.60713389,0,0.17667
1.085,4.554354419,0,0.17818
1.09,4.540280117,0,0.17667
1.095,4.550835723,0,0.176217
1.1,4.578984806,0,0.177576
1.105,4.564910505,0,0.175613
