time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0,0.62552763,0,-0.000453
0.005,0.833615342,0,0.004228
0.01,0.99865038,0,0.006191
0.015,1.18162422,0,0.009815
0.02,1.38612425,0,0.013137
0.025,1.51886966,0,0.013892
0.03,1.71619413,0,0.015553
0.035,1.82023779,0,0.014194
0.04,1.96374654,0,0.016308
0.045,2.12160641,0,0.023254
0.05,2.26152738,0,0.03171
0.055,2.38709772,0,0.037448
0.06,2.45167629,0,0.042431
0.065,2.57365885,0,0.051642
0.07,2.65258854,0,0.054511
0.075,2.81403619,0,0.062363
0.08,2.8499135,0,0.067648
0.085,2.90372922,0,0.074594
0.09,2.98265891,0,0.080332
0.095,3.0795275,0,0.086825
0.1,3.19074672,0,0.093922
0.105,3.21586069,0,0.100264
0.11,3.27326419,0,0.106908
0.115,3.35219388,0,0.113099
0.12,3.43112357,0,0.119139
0.125,3.4634131,0,0.124726
0.13,3.50287819,0,0.130162
0.135,3.53516772,0,0.133484
0.14,3.63203582,0,0.138618
0.145,3.65714979,0,0.141789
0.15,3.67508869,0,0.145564
0.155,3.77913235,0,0.149188
0.16,3.76119394,0,0.153416
0.165,3.78630791,0,0.154926
0.17,3.79707125,0,0.156134
0.175,3.90470269,0,0.16157
0.18,3.90829047,0,0.162174
0.185,3.95851841,0,0.166251
0.19,3.94775507,0,0.167006
0.195,4.03027254,0,0.169875
0.2,4.00874635,0,0.169271
0.205,4.02668525,0,0.170479
0.21,4.05179922,0,0.170177
0.215,4.10202716,0,0.171838
0.22,4.11996557,0,0.172744
0.225,4.11637779,0,0.172442
0.23,4.15943066,0,0.173046
0.235,4.18813241,0,0.173348
0.24,4.20248304,0,0.174254
0.245,4.16301844,0,0.172593
0.25,4.23118479,0,0.173499
0.255,4.25988654,0,0.174254
0.26,4.23836035,0,0.173046
0.265,4.26347432,0,0.170479
0.27,4.29576385,0,0.16912
0.275,4.27064988,0,0.166855
0.28,4.27782544,0,0.166855
0.285,4.27782544,0,0.165496
0.29,4.33881672,0,0.16912
0.295,4.35675513,0,0.16761
0.3,4.32805338,0,0.165345
0.305,4.39622022,0,0.167459
0.31,4.39263244,0,0.165798
0.315,4.33881672,0,0.164439
0.32,4.38904466,0,0.163986
0.325,4.42492197,0,0.163835
0.33,4.38904466,0,0.161872
0.335,4.41774641,0,0.162627
0.34,4.4572115,0,0.163382
0.345,4.4392726,0,0.162325
0.35,4.44286038,0,0.163231
0.355,4.42492197,0,0.162929
0.36,4.46079879,0,0.164137
0.365,4.46797435,0,0.163986
0.37,4.4572115,0,0.162929
0.375,4.50743944,0,0.163382
0.38,4.46438657,0,0.162627
0.385,4.47514991,0,0.163231
0.39,4.45362372,0,0.162023
0.395,4.52179007,0,0.16308
0.4,4.4966761,0,0.161721
0.405,4.52179007,0,0.163684
0.41,4.51820229,0,0.161419
0.415,4.51820229,0,0.165496
0.42,4.46797435,0,0.163382
0.425,4.49308832,0,0.245828
0.43,4.50743944,0,0.18573
0.435,4.514615,0,0.170328
0.44,4.54690404,0,0.165345
0.445,4.56125516,0,0.165043
0.45,4.53972897,0,0.1661
0.455,4.48950054,0,0.164137
0.46,4.56843072,0,0.164439
0.465,4.54690404,0,0.162476
0.47,4.56843072,0,0.164439
0.475,4.53614119,0,0.16157
0.48,4.57919357,0,0.163231
0.485,4.56843072,0,0.162778
0.49,4.51820229,0,0.163382
0.495,4.58636913,0,0.164137
0.5,4.5720185,0,0.163835
0.505,4.57919357,0,0.165798
0.51,4.55049182,0,0.163986
0.515,4.60072025,0,0.1661
0.52,4.53614119,0,0.164741
0.525,4.57560579,0,0.167761
0.53,4.56484294,0,0.166402
0.535,4.59713247,0,0.168214
0.54,4.56484294,0,0.168516
0.545,4.58995691,0,0.168365
0.55,4.58636913,0,0.16912
0.555,4.53614119,0,0.16761
0.56,4.58636913,0,0.170026
0.565,4.58636913,0,0.168214
0.57,4.60430754,0,0.170026
0.575,4.58995691,0,0.169724
0.58,4.61865866,0,0.169422
0.585,4.60072025,0,0.168365
0.59,4.57919357,0,0.17063
0.595,4.59713247,0,0.170026
0.6,4.62224644,0,0.17063
0.605,4.56843072,0,0.170932
0.61,4.61507088,0,0.170328
0.615,4.61507088,0,0.169573
0.62,4.60072025,0,0.170026
0.625,4.57560579,0,0.171083
0.63,4.60430754,0,0.170177
0.635,4.63300929,0,0.171234
0.64,4.60430754,0,0.17214
0.645,4.63659707,0,0.172593
0.65,4.629422,0,0.173197
0.655,4.56843072,0,0.173197
0.66,4.65812375,0,0.174858
0.665,4.62583422,0,0.17365
0.67,4.63300929,0,0.174103
0.675,4.64018485,0,0.17365
0.68,4.63300929,0,0.175009
0.685,4.59713247,0,0.177274
0.69,4.57560579,0,0.17667
0.695,4.64018485,0,0.177576
0.7,4.61507088,0,0.176972
0.705,4.63659707,0,0.178482
0.71,4.6114831,0,0.177576
0.715,4.63300929,0,0.179237
0.72,4.58636913,0,0.17667
0.725,4.61865866,0,0.177727
0.73,4.65094819,0,0.180294
0.735,4.60789532,0,0.179086
0.74,4.65094819,0,0.179237
0.745,4.62583422,0,0.178482
0.75,4.61865866,0,0.180143
0.755,4.5720185,0,0.177727
0.76,4.64377263,0,0.178935
0.765,4.62224644,0,0.177727
0.77,4.63300929,0,0.17969
0.775,4.64377263,0,0.178482
0.78,4.63659707,0,0.177727
0.785,4.60430754,0,0.178935
0.79,4.61507088,0,0.177878
0.795,4.65094819,0,0.178029
0.8,4.64018485,0,0.17969
0.805,4.61507088,0,0.17818
0.81,4.67606216,0,0.179539
0.815,4.65453597,0,0.177425
0.82,4.629422,0,0.178784
0.825,4.59713247,0,0.177123
0.83,4.64377263,0,0.177425
0.835,4.629422,0,0.177123
0.84,4.65094819,0,0.178029
0.845,4.66171104,0,0.17516
0.85,4.65094819,0,0.177727
0.855,4.61507088,0,0.177576
0.86,4.65453597,0,0.176519
0.865,4.6688866,0,0.177576
0.87,4.63300929,0,0.17516
0.875,4.66171104,0,0.176972
0.88,4.64018485,0,0.174254
0.885,4.65094819,0,0.176368
0.89,4.60072025,0,0.172744
0.895,4.67606216,0,0.175311
0.9,4.64018485,0,0.174254
0.905,4.65094819,0,0.17516
0.91,4.64018485,0,0.173499
0.915,4.65094819,0,0.175613
0.92,4.61865866,0,0.175462
0.925,4.61865866,0,0.174707
0.93,4.64736041,0,0.177727
0.935,4.64736041,0,0.176066
0.94,4.66171104,0,0.17667
0.945,4.66529882,0,0.176519
0.95,4.68323772,0,0.177727
0.955,4.6114831,0,0.175462
0.96,4.63659707,0,0.177425
0.965,4.67964994,0,0.177123
0.97,4.6688866,0,0.176368
0.975,4.66171104,0,0.178784
0.98,4.67606216,0,0.177425
0.985,4.65094819,0,0.17969
0.99,4.59354469,0,0.177123
0.995,4.6688866,0,0.180143
1,4.63300929,0,0.17667
1.005,4.67606216,0,0.179841
1.01,4.64736041,0,0.177425
1.015,4.6688866,0,0.176217
1.02,4.64377263,0,0.176972
1.025,4.62583422,0,0.176368
1.03,4.69041279,0,0.176972
1.035,4.63659707,0,0.17516
1.04,4.66529882,0,0.175915
1.045,4.67247438,0,0.176217
1.05,4.64018485,0,0.177123
1.055,4.62583422,0,0.176519
1.06,4.64377263,0,0.177576
1.065,4.6688866,0,0.175764
1.07,4.66171104,0,0.17516
1.075,4.63659707,0,0.177123
1.08,4.69758835,0,0.17667
1.085,4.64377263,0,0.17818
1.09,4.629422,0,0.17667
1.095,4.64018485,0,0.176217
1.1,4.6688866,0,0.177576
1.105,4.65453597,0,0.175613
1.11,4.62583422,0,0.175764
1.115,4.6868255,0,0.176066
1.12,4.64736041,0,0.175915
1.125,4.61507088,0,0.175009
1.13,4.64377263,0,0.175009
1.135,4.65812375,0,0.177425
1.14,4.65812375,0,0.174707
1.145,4.62224644,0,0.174405
1.15,4.67247438,0,0.175009
1.155,4.629422,0,0.174103
1.16,4.629422,0,0.174103
1.165,4.68323772,0,0.17365
1.17,4.65812375,0,0.172744
1.175,4.66171104,0,0.173197
1.18,4.69400057,0,0.173952
1.185,4.62224644,0,0.173952
1.19,4.629422,0,0.171536
1.195,4.67606216,0,0.174103
1.2,4.64018485,0,0.171687
1.205,4.67247438,0,0.174556
1.21,4.69041279,0,0.174254
1.215,4.65094819,0,0.174254
1.22,4.629422,0,0.175311
1.225,4.65453597,0,0.175915
1.23,4.68323772,0,0.176217
1.235,4.63659707,0,0.174405
1.24,4.67247438,0,0.17667
1.245,4.65812375,0,0.176066
1.25,4.6114831,0,0.174707
1.255,4.66529882,0,0.177425
1.26,4.63659707,0,0.174858
1.265,4.64736041,0,0.176972
1.27,4.66171104,0,0.175764
1.275,4.66171104,0,0.175009
1.28,4.64018485,0,0.177878
1.285,4.60072025,0,0.174707
1.29,4.67964994,0,0.175009
1.295,4.66529882,0,0.175009
1.3,4.65094819,0,0.174405
1.305,4.67964994,0,0.174254
1.31,4.66529882,0,0.173499
1.315,4.61865866,0,0.173348
1.32,4.6114831,0,0.17214
1.325,4.67964994,0,0.172744
1.33,4.66171104,0,0.172895
1.335,4.64377263,0,0.170177
1.34,4.6868255,0,0.172744
1.345,4.64018485,0,0.170026
1.35,4.59713247,0,0.169573
1.355,4.67247438,0,0.169724
1.36,4.66529882,0,0.168516
1.365,4.65453597,0,0.169573
1.37,4.63659707,0,0.168818
1.375,4.69758835,0,0.168667
1.38,4.62224644,0,0.169271
1.385,4.65094819,0,0.168063
1.39,4.65812375,0,0.168365
1.395,4.6688866,0,0.166855
1.4,4.67606216,0,0.167912
1.405,4.66529882,0,0.167308
1.41,4.67247438,0,0.167761
1.415,4.61865866,0,0.166704
1.42,4.65094819,0,0.167761
1.425,4.66171104,0,0.167308
1.43,4.6688866,0,0.167761
1.435,4.66171104,0,0.171083
1.44,4.66171104,0,0.166704
1.445,4.65453597,0,0.168667
1.45,4.59713247,0,0.167006
1.455,4.66171104,0,0.167006
1.46,4.6688866,0,0.168818
1.465,4.66529882,0,0.168063
1.47,4.65094819,0,0.166704
1.475,4.67964994,0,0.167761
1.48,4.66529882,0,0.166402
1.485,4.63300929,0,0.166251
1.49,4.64377263,0,0.167006
1.495,4.67964994,0,0.166402
1.5,4.65094819,0,0.165496
