time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0,4.05179922,0,0.170177
0.005,4.10202716,0,0.171838
0.01,4.11996557,0,0.172744
0.015,4.11637779,0,0.172442
0.02,4.15943066,0,0.173046
0.025,4.18813241,0,0.173348
0.03,4.20248304,0,0.174254
0.035,4.16301844,0,0.172593
0.04,4.23118479,0,0.173499
0.045,4.25988654,0,0.174254
0.05,4.23836035,0,0.173046
0.055,4.26347432,0,0.170479
0.06,4.29576385,0,0.16912
0.065,4.27064988,0,0.166855
0.07,4.27782544,0,0.166855
0.075,4.27782544,0,0.165496
0.08,4.33881672,0,0.16912
0.085,4.35675513,0,0.16761
0.09,4.32805338,0,0.165345
0.095,4.39622022,0,0.167459
0.1,4.39263244,0,0.165798
0.105,4.33881672,0,0.164439
0.11,4.38904466,0,0.163986
0.115,4.42492197,0,0.163835
0.12,4.38904466,0,0.161872
0.125,4.41774641,0,0.162627
0.13,4.4572115,0,0.163382
0.135,4.4392726,0,0.162325
0.14,4.44286038,0,0.163231
0.145,4.42492197,0,0.162929
0.15,4.46079879,0,0.164137
0.155,4.46797435,0,0.163986
0.16,4.4572115,0,0.162929
0.165,4.50743944,0,0.163382
0.17,4.46438657,0,0.162627
0.175,4.47514991,0,0.163231
0.18,4.45362372,0,0.162023
0.185,4.52179007,0,0.16308
0.19,4.4966761,0,0.161721
0.195,4.52179007,0,0.163684
0.2,4.51820229,0,0.161419
0.205,4.51820229,0,0.165496
0.21,4.46797435,0,0.163382
0.215,4.49308832,0,0.245828
0.22,4.50743944,0,0.18573
0.225,4.514615,0,0.170328
0.23,4.54690404,0,0.165345
0.235,4.56125516,0,0.165043
0.24,4.53972897,0,0.1661
0.245,4.48950054,0,0.164137
0.25,4.56843072,0,0.164439
0.255,4.54690404,0,0.162476
0.26,4.56843072,0,0.164439
0.265,4.53614119,0,0.16157
0.27,4.57919357,0,0.163231
0.275,4.56843072,0,0.162778
0.28,4.51820229,0,0.163382
0.285,4.58636913,0,0.164137
0.29,4.5720185,0,0.163835
0.295,4.57919357,0,0.165798
0.3,4.55049182,0,0.163986
0.305,4.60072025,0,0.1661
0.31,4.53614119,0,0.164741
0.315,4.57560579,0,0.167761
0.32,4.56484294,0,0.166402
0.325,4.59713247,0,0.168214
0.33,4.56484294,0,0.168516
0.335,4.58995691,0,0.168365
0.34,4.58636913,0,0.16912
0.345,4.53614119,0,0.16761
0.35,4.58636913,0,0.170026
0.355,4.58636913,0,0.168214
0.36,4.60430754,0,0.170026
0.365,4.58995691,0,0.169724
0.37,4.61865866,0,0.169422
0.375,4.60072025,0,0.168365
0.38,4.57919357,0,0.17063
0.385,4.59713247,0,0.170026
0.39,4.62224644,0,0.17063
0.395,4.56843072,0,0.170932
0.4,4.61507088,0,0.170328
0.405,4.61507088,0,0.169573
0.41,4.60072025,0,0.170026
0.415,4.57560579,0,0.171083
