t,mox,F,Pc,of,mf,eta,gamma,cstr_th,cstr_ex
0.0,0.004051799220000001,0,271477.0,2.344025635796855,0.0017285643800659994,0.8821014302238774,1.115989141822855,1607.4320299471105,1417.918092566552
0.005,0.00410202716,0,273138.0,2.3777647041109518,0.0017251610947491757,0.8821014302238774,1.1159339195143816,1604.2712862400797,1415.1299960314598
0.01,0.00411996557,0,274044.0,2.3837129478656474,0.0017283815879294425,0.8821014302238774,1.1159350483239092,1603.769269933344,1414.6871667310984
0.015,0.0041163777899999995,0,273742.0,2.3848877851878565,0.0017260257759573179,0.8821014302238774,1.1159274414945373,1603.6316436578797,1414.5657663971704
0.02,0.00415943066,0,274346.0,2.430330194841358,0.001711467301368698,0.8821014302238774,1.1158345195033663,1599.3695907965644,1410.8062034876873
0.025,0.00418813241,0,274648.0,2.4631243757616064,0.0017003333048112989,0.8821014302238774,1.1157663713067414,1596.3533361168143,1408.1455609254567
0.03,0.00420248304,0,275554.0,2.4641111530316286,0.0017054762464061854,0.8821014302238774,1.115779301929308,1596.3347217608346,1408.1291411754357
0.035,0.00416301844,0,273893.0,2.444363045532465,0.0017031097109771408,0.8821014302238774,1.1157955408386877,1598.0270292779685,1409.6219280545592
0.04,0.00423118479,0,274799.0,2.5192455577184365,0.0016795444084585338,0.8821014302238774,1.1156498135469723,1591.2148369249403,1403.6128834412593
0.045,0.0042598865400000005,0,275554.0,2.5431789933814994,0.0016750242712314585,0.8821014302238774,1.115614733044884,1589.0854713059337,1401.7345669833921
0.05,0.0042383603499999995,0,274346.0,2.5388316809685043,0.0016694136841648223,0.8821014302238774,1.1156024878064965,1589.3863942214327,1402.0000115175524
0.055,0.00426347432,0,271779.0,2.631101281324492,0.0016204143680298671,0.8821014302238774,1.1153770497349351,1580.9064900508968,1394.519875923282
0.06,0.00429576385,0,270420.0,2.710946641870961,0.001584599188951678,0.8821014302238774,1.115225359642366,1573.9444604940206,1388.3786596946786
0.065,0.00427064988,0,268155.0,2.7269133644797336,0.0015661113167835439,0.8821014302238774,1.115170287110952,1572.4205399960035,1387.0344072438554
0.07,0.00427782544,0,268155.0,2.738004351021873,0.0015623881088441067,0.8821014302238774,1.1151591174569542,1571.4910278735476,1386.214483271235
0.075,0.00427782544,0,266796.0,2.771464499008257,0.0015435252522739442,0.8821014302238774,1.1151058377699852,1568.5930452887003,1383.6581686883874
0.08,0.004338816719999999,0,270420.0,2.7771713117745027,0.001562315115961524,0.8821014302238774,1.1151606333691917,1568.4050260408103,1383.492316640914
0.085,0.00435675513,0,268910.0,2.8431244226190384,0.0015323828585688945,0.8821014302238774,1.1150678334930983,1562.823583994923,1378.568918768913
0.09,0.00432805338,0,266645.0,2.855197468854399,0.0015158508044407033,0.8821014302238774,1.1150173522267108,1561.6549848056175,1377.5380956933916
