time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0,4.0793387,0,0.013137
0.005,4.107487784,0,0.013892
0.01,4.121562085,0,0.015553
0.015,4.082857396,0,0.014194
0.02,4.149711168,0,0.016308
0.025,4.177860251,0,0.023254
0.03,4.156748559,0,0.03171
0.035,4.181378947,0,0.037448
0.04,4.213046725,0,0.042431
0.045,4.188416338,0,0.051642
0.05,4.195453729,0,0.054511
0.055,4.195453729,0,0.062363
0.06,4.25527059,0,0.067648
0.065,4.272863587,0,0.074594
0.07,4.244714504,0,0.080332
0.075,4.311568757,0,0.086825
0.08,4.308050061,0,0.093922
0.085,4.25527059,0,0.100264
0.09,4.304531366,0,0.106908
0.095,4.33971784,0,0.113099
0.1,4.304531366,0,0.119139
0.105,4.332680449,0,0.124726
0.11,4.371385618,0,0.130162
0.115,4.353792141,0,0.133484
0.12,4.357310837,0,0.138618
0.125,4.33971784,0,0.141789
0.13,4.374903833,0,0.145564
0.135,4.381941224,0,0.149188
0.14,4.371385618,0,0.153416
0.145,4.420646394,0,0.154926
0.15,4.378422529,0,0.156134
0.155,4.388978615,0,0.16157
0.16,4.367866923,0,0.162174
0.165,4.434720695,0,0.166251
0.17,4.410090307,0,0.167006
0.175,4.434720695,0,0.169875
0.18,4.431202,0,0.169271
0.185,4.431202,0,0.170479
0.19,4.381941224,0,0.170177
0.195,4.406571612,0,0.171838
0.2,4.420646394,0,0.172744
0.205,4.427683785,0,0.172442
0.21,4.459351083,0,0.173046
0.215,4.473425865,0,0.173348
0.22,4.452314172,0,0.174254
0.225,4.403052917,0,0.172593
0.23,4.480463256,0,0.173499
0.235,4.459351083,0,0.174254
0.24,4.480463256,0,0.173046
0.245,4.448795477,0,0.170479
0.25,4.491018861,0,0.16912
0.255,4.480463256,0,0.166855
0.26,4.431202,0,0.166855
0.265,4.498056252,0,0.165496
0.27,4.483981951,0,0.16912
0.275,4.491018861,0,0.16761
0.28,4.462869778,0,0.165345
0.285,4.512131034,0,0.167459
0.29,4.448795477,0,0.165798
0.295,4.487500166,0,0.164439
0.3,4.47694456,0,0.163986
0.305,4.508612339,0,0.163835
0.31,4.47694456,0,0.161872
0.315,4.501574948,0,0.162627
0.32,4.498056252,0,0.163382
0.325,4.448795477,0,0.162325
0.33,4.498056252,0,0.163231
0.335,4.498056252,0,0.162929
0.34,4.515649249,0,0.164137
0.345,4.501574948,0,0.163986
0.35,4.529724031,0,0.162929
0.355,4.512131034,0,0.163382
0.36,4.491018861,0,0.162627
0.365,4.508612339,0,0.163231
0.37,4.533242727,0,0.162023
0.375,4.480463256,0,0.16308
0.38,4.526205336,0,0.161721
0.385,4.526205336,0,0.163684
0.39,4.512131034,0,0.161419
0.395,4.487500166,0,0.165496
0.4,4.515649249,0,0.163382
0.405,4.543798332,0,0.245828
0.41,4.515649249,0,0.18573
0.415,4.547317028,0,0.170328
0.42,4.540280117,0,0.165345
0.425,4.480463256,0,0.165043
0.43,4.568429201,0,0.1661
0.435,4.536761422,0,0.164137
0.44,4.543798332,0,0.164439
0.445,4.550835723,0,0.162476
0.45,4.543798332,0,0.164439
0.455,4.508612339,0,0.16157
0.46,4.487500166,0,0.163231
0.465,4.550835723,0,0.162778
0.47,4.526205336,0,0.163382
0.475,4.547317028,0,0.164137
0.48,4.52268664,0,0.163835
0.485,4.543798332,0,0.165798
0.49,4.498056252,0,0.163986
0.495,4.529724031,0,0.1661
0.5,4.56139181,0,0.164741
0.505,4.519167945,0,0.167761
0.51,4.56139181,0,0.166402
0.515,4.536761422,0,0.168214
0.52,4.529724031,0,0.168516
0.525,4.483981951,0,0.168365
0.53,4.554354419,0,0.16912
0.535,4.533242727,0,0.16761
0.54,4.543798332,0,0.170026
0.545,4.554354419,0,0.168214
0.55,4.547317028,0,0.170026
0.555,4.515649249,0,0.169724
0.56,4.526205336,0,0.169422
0.565,4.56139181,0,0.168365
0.57,4.550835723,0,0.17063
0.575,4.526205336,0,0.170026
0.58,4.586022197,0,0.17063
0.585,4.564910505,0,0.170932
0.59,4.540280117,0,0.170328
0.595,4.508612339,0,0.169573
0.6,4.554354419,0,0.170026
0.605,4.540280117,0,0.171083
0.61,4.56139181,0,0.170177
0.615,4.571947416,0,0.171234
0.62,4.56139181,0,0.17214
0.625,4.526205336,0,0.172593
0.63,4.564910505,0,0.173197
0.635,4.578984806,0,0.173197
0.64,4.543798332,0,0.174858
0.645,4.571947416,0,0.17365
0.65,4.550835723,0,0.174103
0.655,4.56139181,0,0.17365
0.66,4.512131034,0,0.175009
0.665,4.586022197,0,0.177274
0.67,4.550835723,0,0.17667
0.675,4.56139181,0,0.177576
0.68,4.550835723,0,0.176972
0.685,4.56139181,0,0.178482
0.69,4.529724031,0,0.177576
0.695,4.529724031,0,0.179237
0.7,4.557873114,0,0.17667
0.705,4.557873114,0,0.177727
0.71,4.571947416,0,0.180294
0.715,4.575466111,0,0.179086
0.72,4.593059588,0,0.179237
0.725,4.52268664,0,0.178482
0.73,4.547317028,0,0.180143
0.735,4.589540893,0,0.177727
0.74,4.578984806,0,0.178935
0.745,4.571947416,0,0.177727
0.75,4.586022197,0,0.17969
0.755,4.56139181,0,0.178482
0.76,4.505093643,0,0.177727
0.765,4.578984806,0,0.178935
0.77,4.543798332,0,0.177878
0.775,4.586022197,0,0.178029
0.78,4.557873114,0,0.17969
0.785,4.578984806,0,0.17818
0.79,4.554354419,0,0.179539
0.795,4.536761422,0,0.177425
0.8,4.600096499,0,0.178784
0.805,4.547317028,0,0.177123
0.81,4.575466111,0,0.177425
0.815,4.582503502,0,0.177123
0.82,4.550835723,0,0.178029
0.825,4.536761422,0,0.17516
0.83,4.554354419,0,0.177727
0.835,4.578984806,0,0.177576
0.84,4.571947416,0,0.176519
0.845,4.547317028,0,0.177576
0.85,4.60713389,0,0.17516
0.855,4.554354419,0,0.176972
0.86,4.540280117,0,0.174254
0.865,4.550835723,0,0.176368
0.87,4.578984806,0,0.172744
0.875,4.564910505,0,0.175311
0.88,4.536761422,0,0.174254
0.885,4.596578284,0,0.17516
0.89,4.557873114,0,0.173499
0.895,4.526205336,0,0.175613
0.9,4.554354419,0,0.175462
0.905,4.568429201,0,0.174707
0.91,4.568429201,0,0.177727
0.915,4.533242727,0,0.176066
0.92,4.582503502,0,0.17667
0.925,4.540280117,0,0.176519
0.93,4.540280117,0,0.177727
0.935,4.593059588,0,0.175462
0.94,4.568429201,0,0.177425
0.945,4.571947416,0,0.177123
0.95,4.603615194,0,0.176368
0.955,4.533242727,0,0.178784
0.96,4.540280117,0,0.177425
0.965,4.586022197,0,0.17969
0.97,4.550835723,0,0.177123
0.975,4.582503502,0,0.180143
0.98,4.600096499,0,0.17667
0.985,4.56139181,0,0.179841
0.99,4.540280117,0,0.177425
0.995,4.564910505,0,0.176217
1,4.593059588,0,0.176972
1.005,4.547317028,0,0.176368
1.01,4.582503502,0,0.176972
1.015,4.568429201,0,0.17516
1.02,4.52268664,0,0.175915
1.025,4.575466111,0,0.176217
1.03,4.547317028,0,0.177123
1.035,4.557873114,0,0.176519
1.04,4.571947416,0,0.177576
1.045,4.571947416,0,0.175764
1.05,4.550835723,0,0.17516
1.055,4.512131034,0,0.177123
