time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
0,8.140934094,1.404969413,0.21306648
0.005,8.211652901,1.451981268,0.223255166
0.01,8.250005767,1.659617053,0.233527365
0.015,8.285631894,1.788899723,0.244484384
0.02,8.318294149,1.996535488,0.255174152
0.025,8.343428078,2.110147488,0.266565435
0.03,8.364886739,2.078806243,0.26953853
0.035,8.383381527,2.215924195,0.275768655
0.04,8.397489731,2.274689005,0.2820823
0.045,8.409819563,2.384383355,0.288562975
0.05,8.419422575,2.415724605,0.296363165
0.055,8.427425085,2.654701655,0.30603406
0.06,8.434182832,2.807490205,0.31640648
0.065,8.439636391,2.95636109,0.327330085
0.07,8.443845107,3.06997314,0.339473
0.075,8.447461113,3.265855965,0.35131526
0.08,8.450247196,3.43039751,0.364326715
0.085,8.452796146,3.63411561,0.37915877
0.09,8.454989439,3.75948065,0.39562769
0.095,8.455819443,3.9122692,0.411962995
0.1,8.45789421,4.11990495,0.42791414
0.105,8.458012735,4.2570229,0.443280685
0.11,8.459198235,4.3941409,0.459632685
0.115,8.459435287,4.56651775,0.475216365
0.12,8.460146603,4.75848285,0.49088356
0.125,8.459790864,4.92694205,0.50661757
0.13,8.45990939,5.1737544,0.52108216
0.135,8.459316599,5.31479005,0.535630275
0.14,8.459612994,5.62428485,0.54959379
0.145,8.45973152,5.87893255,0.563958165
0.15,8.458842415,6.09832125,0.577253565
0.155,8.459553732,6.3686395,0.58927956
0.16,8.457834704,6.6272048,0.60048712
0.165,8.458249625,6.9445349,0.61259662
0.17,8.456826911,7.22660615,0.623119355
0.175,8.457538228,7.61837165,0.6336588
0.18,8.456115514,7.9435373,0.64322949
0.185,8.455700512,8.3862325,0.651246815
0.19,8.454929852,8.63304495,0.658612735
0.195,8.454929852,8.94645745,0.66509341
0.2,8.454811246,9.2677055,0.670421595
0.205,8.453625745,9.5027648,0.67610053
0.21,8.454040666,9.7378244,0.680610275
0.215,8.452499508,9.8671071,0.68410116
0.22,8.452855166,10.1335076,0.68849399
0.225,8.450899006,10.2862963,0.692001565
0.23,8.451610403,10.560532,0.6958432
0.235,8.451254745,10.79167395,0.698832995
0.24,8.45036556,11.11292195,0.700937545
0.245,8.449772769,11.33231095,0.703426255
0.25,8.449061453,11.54386415,0.70770216
0.255,8.449120716,11.71624125,0.711193045
0.26,8.447816609,11.8807826,0.715919925
0.265,8.448468662,12.0649125,0.720897345
0.27,8.447283162,12.0766655,0.724688875
0.275,8.447698083,12.1667715,0.729014895
0.28,8.446334633,12.139348,0.733257395
0.285,8.445919793,12.158936,0.737750435
0.29,8.446512583,12.1746065,0.74309532
0.295,8.445030607,12.1941945,0.746502685
0.3,8.444912,12.280383,0.75089551
