t,mox,F,Pc,of,mf,lambda,Pe,Ve,cstr_ex,eta,dof,dmf
0,0.014375525,105.132032,409807.425,0.527056595,0.027275108,0.921191235,233622.9155,766.0367497,5633.46535,4.893717583,2.987316068,0.023184612
0.005,0.043337074,109.5073275,416314.81,14.55389934,0.002977695,0.921191235,233155.6541,797.8084818,5146.592331,4.40485687,17.6331014,0.00163128
0.01,0.060148573,114.663925,423767.41,22.63838978,0.002656928,0.921191235,233175.1176,677.3319979,3863.200774,3.991983974,23.06823855,0.001340958
0.015,0.073696196,120.445561,431110.94,28.2350216,0.002610099,0.921191235,236056.6102,616.3168927,3234.789973,3.698231513,22.88356959,0.001168428
0.02,0.085501542,125.4458975,438163.64,33.11245698,0.002582156,0.921191235,239123.858,573.9225599,2848.119473,3.512451256,23.1126276,0.001061455
0.025,0.096148367,131.071281,445907.07,36.11942794,0.002661957,0.921191235,242267.3745,552.4926469,2583.803285,3.325169701,22.17161795,0.001012504
0.03,0.105988062,137.790481,454741.12,37.72259913,0.00280967,0.921191235,247436.1115,540.3947082,2393.105212,3.146959522,20.20254758,0.000979928
0.035,0.115269072,145.369113,464883.92,38.10076314,0.003025374,0.921191235,252894.514,537.9098523,2250.078017,2.973501536,18.7511602,0.000997843
0.04,0.124107449,152.5570955,476480.885,39.12110292,0.003172391,0.921191235,259037.1932,531.2684558,2143.400218,2.870401769,17.54218483,0.000982129
0.045,0.132623816,160.291994,487932.43,39.22877566,0.003380779,0.921191235,265246.7854,530.572607,2054.109136,2.754655341,16.11347237,0.000984349
0.05,0.14084337,169.4332325,499238.565,37.73987439,0.003731951,0.921191235,271645.3115,540.2799391,1977.11244,2.600515116,14.09305439,0.001014695
0.055,0.148739985,178.183819,511053.655,36.81357313,0.004040357,0.921191235,278237.7985,546.6471772,1915.21013,2.487784134,12.56086302,0.001027867
0.06,0.156327713,186.8562795,523014.155,35.95139343,0.004348307,0.921191235,284905.6248,552.6089334,1863.716222,2.393012978,11.31411115,0.00104087
0.065,0.163774087,195.1380895,535738.1,35.62406673,0.004597288,0.921191235,291897.5936,554.9580921,1821.804143,2.328643061,10.46232121,0.001043655
